v2	V(vdc)	V(vfb)	V(vin)	V(vout)
7.000000000000000e-001	1.200000e+001	6.999979e-001	7.000000e-001	2.099888e+000
1.000000000000000e+000	1.200000e+001	9.999970e-001	1.000000e+000	2.999891e+000
1.300000000000000e+000	1.200000e+001	1.299996e+000	1.300000e+000	3.899894e+000
1.600000000000000e+000	1.200000e+001	1.599995e+000	1.600000e+000	4.799898e+000
1.900000000000000e+000	1.200000e+001	1.899994e+000	1.900000e+000	5.699901e+000
2.200000000000000e+000	1.200000e+001	2.199993e+000	2.200000e+000	6.599904e+000
2.500000000000000e+000	1.200000e+001	2.499993e+000	2.500000e+000	7.499907e+000
2.800000000000000e+000	1.200000e+001	2.799992e+000	2.800000e+000	8.399911e+000
3.100000000000000e+000	1.200000e+001	3.099991e+000	3.100000e+000	9.299914e+000
3.400000000000000e+000	1.200000e+001	3.399990e+000	3.400000e+000	1.019992e+001
3.699999999999999e+000	1.200000e+001	3.699989e+000	3.700000e+000	1.109992e+001
3.999999999999999e+000	1.200000e+001	3.999988e+000	4.000000e+000	1.199992e+001
4.300000000000000e+000	1.200000e+001	4.299987e+000	4.300000e+000	1.289993e+001
